index,tweets,text_characters,keywords,sentiment,categories
89,Yup,aff,aff,aff,aff
90,"Change out a few parts, otherwise fine",38,parts,neutral,/business and industrial/metals
91,Caution strongly advised with SPACs,35,Caution,neutral,/sports/auto racing/nascar
92,Sure,aff,aff,aff,aff
93,Haha sexy cropping champion of all time,39,champion of all time,positive,/sports/wrestling
94,"If next weeks release looks good, we will widen beta",52,next weeks release,positive,/technology and computing/operating systems
95,"Unfortunately, there are too many rules around liquor distribution, even in the US.",83,liquor distribution,negative,/food and drink/beverages/alcoholic beverages
96,"Next weeks release is special. Lot of fundamental improvements, both important bug fixes &amp; entire n",103,Lot of fundamental improvements,positive,/technology and computing/operating systems
97,years &amp; $11 billion wow,27,amp,positive,/finance/investing
98,Safety is our primary design goal,33,primary design goal,neutral,/automotive and vehicles
99,Fully,aff,aff,aff,aff
100,Let the Martians decide their own future,40,own future,neutral,/hobbies and interests/getting published
101,A lot of my brain space is spent dealing with both units!,57,lot of my brain space,negative,/health and fitness/disease/epilepsy
102,"Terraforming will be too slow to be relevant in our lifetime. However, we can establish a human base",100,human base,neutral,/technology and computing/internet technology/web search/people search
103,That is certainly the intention!,32,intention,positive,/society/unrest and war
104,,aff,aff,aff,aff
105,The only publicly traded stock I own is Tesla,45,stock,neutral,/automotive and vehicles/cars/hybrid
106,Wise words from Bogle. The point of companies is products &amp; services. They have no point in &amp; of thems,110,point of companies,neutral,/business and industrial/metals
107,"No, just a mild cold. Same with my bro. Def had cov2 though. Pc&lt;20 means viral",81,Pc,neutral,/technology and computing/hardware
108,"Life in glass domes at first. Eventually, terraformed to support life, like Earth.",82,glass domes,neutral,/science/geology/volcanology/volcanic eruptions
109,Yeah,aff,aff,aff,aff
110,"I was going to say Sim!, but that seemed too obvious haha",57,obvious haha,positive,/sports/running and jogging
111,Deveras!,aff,aff,aff,aff
112,"And cases with high (non-infectious) Ct should quarantine for a few days, while getting another test. Seco",106,cases,negative,/health and fitness/disease
113,So many things you want &amp; some you didnt know you wanted,60,things,positive,/hobbies and interests/guitar
114,Maybe a little Mercy,20,little Mercy,neutral,/religion and spirituality/christianity
115,Tesla holiday software release is,33,Tesla holiday software release,neutral,/technology and computing/software
116,,aff,aff,aff,aff
117,Cobra Kai is a deep cut,23,Cobra Kai,negative,/automotive and vehicles/cars/coupe
118,Its all cake &amp; someone took a bite,38,cake,negative,/food and drink/desserts and baking
119,There is such a thing as too much sentience,43,much sentience,positive,/pets/animal welfare
120,Deus ex machine learning,24,Deus ex machine learning,neutral,/science/computer science/artificial intelligence
121,"Its designed to make life multiplanetary, otherwise extreme overkill for mere Earth sector activity!",100,extreme overkill,negative,/finance/investing
122,More like he gave it his blessing. It was sort of a groundswell of those who believed,85,sort of a groundswell,neutral,"/law, govt and politics/politics"
123,Nullius in Verba,aff,aff,aff,aff
124,Indeed,aff,aff,aff,aff
125,Dojo/Doge,aff,aff,aff,aff
126,"Yeah, looks like marginal cost of launch will be less than $1M for more than",76,marginal cost of launch,negative,/business and industrial/energy/electricity
127,Exactly,aff,aff,aff,aff
128,"Merlin is a strong local maximum design, but kerosene is suboptimal fuel, no matter what",88,strong local maximum design,neutral,/business and industrial/energy/oil/diesel fuel
129,"Yes, but from a visiting American. Ah, the irony is just too much!!",67,irony,negative,/society/unrest and war
130,"Yeah, PCR Ct was unequivocal at &lt;20. Doesnt matter what m",60,Doesnt matter,neutral,/health and fitness/disease
131,Maybe making some notable changes. Will wait until figurative &amp; literal dust settles.,89,notable changes,neutral,/art and entertainment/visual art and design/painting
132,"Pretty close. Definitely feel if I take DayQuil. Frankly, this was one",70,DayQuil,neutral,/family and parenting/children
133,Avionics cables moving to steel pipe shields &amp; adding water-cooled steel pipes to test pad,94,Avionics cables,neutral,/business and industrial/iron and steel industry
134,"About secs after starting engines, martyte covering concrete below shattered, sending blades of",95,martyte covering concrete,negative,/automotive and vehicles/cars/diesel
135,The most amazing thing about rocket engines is that they *sometimes* dont blow up! The,86,amazing thing,positive,/automotive and vehicles/vehicle brands
136,We should just count the atoms at this point,44,atoms,neutral,/science/physics/atomic physics
137,Absolutely. Production/testing of rocket engines is over % of,61,testing of rocket engines,neutral,/automotive and vehicles/vehicle brands
138,Our first Merlin engine design was really bad tbh. Nothing worked well,70,first Merlin engine design,negative,/art and entertainment/visual art and design/design
139,Maybe *I* just love irony haha,30,irony haha,positive,/hobbies and interests/getting published
140,"Theyre on their way! Hopefully, more Teslaquila next month.",59,next month,neutral,/travel/transports
141,Special permission received from Stonecutters Guild!,52,Special permission,neutral,/business and industrial/construction
142,Fate Irony,10,Fate Irony,negative,/art and entertainment/books and literature
143,Well said.,aff,aff,aff,aff
144,,aff,aff,aff,aff
145,"Damn, thats not easy! I spent quite a bit of time looking at Russian/Ukrainian engines. Theyre good.",100,bit of time,positive,/automotive and vehicles/cars/diesel
146,Yes,aff,aff,aff,aff
147,: Docking confirmed Crew Dragon has arrived at the !,52,Crew Dragon,positive,/travel/transports
148,Toss a bitcoin to ur Witcher,28,ur Witcher,neutral,/finance/investing/day trading
149,,aff,aff,aff,aff
150,": Enter the Crew Dragon. At :48 p.m. EST (9:48 p.m. UTC), the NASA Crew-1 astronauts give you a LIVE tour of their space",120,NASA Crew-1 astronauts,neutral,/science/weather
151,"CureVac, Moderna &amp; a few others. Tesla makes the machine CureVac uses to go from kn",87,machine CureVac,positive,/automotive and vehicles/cars/hybrid
152,Creating synthetic mRNA for cures/vaccines is the future of medicine imo. Turns it (mostly) into a,98,synthetic mRNA,neutral,/science/medicine
153,Haha,aff,aff,aff,aff
154,Great thread,12,Great thread,positive,/technology and computing/hardware/computer components/chips and processors
155,"Im ok, thanks for asking. No symptoms for past few days, apart from fatigue. Unless something chang",99,symptoms,negative,/health and fitness/disorders
156,,aff,aff,aff,aff
157,Launch in minutes,17,Launch,neutral,/automotive and vehicles/vehicle brands
158,"Yeah, with cooling channels integrated into the chamber walls",61,chamber walls,neutral,/art and entertainment/movies and tv/television
159,"The same propellant is used either for abort or for orbital maneuvering, as one use obviates the other",102,orbital maneuvering,neutral,/automotive and vehicles/vehicle brands
160,"Dragon can also hover &amp; land propulsively, but we use the parachutes for maximum safety",91,Dragon,neutral,/sports/parachuting
161,"Thrusters are integrated with spacecraft, enabling abort capability all the way to abort for increased safety",109,Thrusters,neutral,/automotive and vehicles/vehicle brands
162,: What song would you play on your ride out to the launch pad?,62,launch pad,neutral,/automotive and vehicles/vehicle brands
163,: Dragon has completed flights to and from the . It was designed from the beginning with human spaceflight in mi,112,human spaceflight,neutral,/travel/transports/air travel/airlines
164,: Dragon is the only spacecraft currently flying capable of returning significant amounts of cargo to Earth and is the first priv,129,only spacecraft,neutral,/travel/transports
165,: SpaceXs custom-tailored suits route the communications and cooling systems and protect the crew in the event of cabin depressu,128,event of cabin depressu,neutral,/business and industrial/energy/nuclear power/nuclear accident
166,: LIVE NOW: We are ready to . Are you? Watch coverage of the NASA Crew-1 mission. Liftoff is at :27pm ET:,105,Watch coverage of the NASA Crew-1 mission,neutral,/automotive and vehicles/vehicle brands
167,: Watch Falcon launch Crew Dragon on its first operational mission to the with astronauts on board,98,Watch Falcon launch Crew Dragon,neutral,/business and industrial/business operations
168,Ok,aff,aff,aff,aff
169,: All systems are go for tonights launch at :27 p.m. EST of Crew Dragons first operational mission with four astronauts on boa,126,tonights launch,neutral,"/law, govt and politics/armed forces/air force"
170,"Yeah, I feel pretty normal. No symptoms right now. Last week, I had sym",71,Last week,neutral,/health and fitness/disorders
171,"Doing tests from several different labs, same time of day, administered by RN &amp; am",86,different labs,neutral,/sports/cricket
172,"Both obv insanely great, too bad they had this pointless argument",65,pointless argument,negative,/art and entertainment/shows and events
173,Astronaut launch today!,23,Astronaut launch today,positive,/automotive and vehicles/vehicle brands
174,": has a message for boys and girls in Japan: ""Space is waiting!"" In this Spotlight, astronaut So",96,message,negative,/technology and computing/internet technology/email
175,: This week... NASA's Crew-1 astronauts arrive at ahead of launch Our rover marks days,86,NASA's Crew-1 astronauts,neutral,/automotive and vehicles/vehicle brands/land rover
176,": just finished final dress rehearsal, getting ready for Saturday launch! Behind me is ""real""",93,final dress rehearsal,positive,/automotive and vehicles/auto parts
177,No kids though,14,kids,neutral,/family and parenting
178,Hell of a wig collection too,28,Hell of a wig collection,negative,/hobbies and interests/collecting
179,It would be great if labs could give people this level of granular feedback in their results,92,level of granular feedback,positive,/technology and computing/internet technology/web search/people search
180,: Great question! Its more complex question and depends on why the test is being used - ie: do you want to kn,109,complex question,positive,/automotive and vehicles/vehicle brands/rolls-royce
181,Worth reading this thread if youre curious about rona testing,61,rona testing,positive,/education/special education
182,"They should be imo. If you get a blood pressure test, they tell you the number, not ju",86,blood pressure test,negative,/health and fitness/disease/heart disease
183,"A little up &amp; down. Feels just like a regular cold, but more body achy &amp; cloudy head than co",100,cloudy head,negative,/style and fashion/body art
184,"In your opinion, at what Ct number for the cov2 N1 gene should a PCR test probably be regarded as",97,Ct number,neutral,/health and fitness/disease
185,!,aff,aff,aff,aff
186,"Cool, but please be super cautious. Expect two steps forward, one back. Lot of new code was merged.",99,Lot of new code,neutral,/technology and computing/programming languages/c and c++
187,Just a scratch. We can buff it out.,35,scratch,neutral,/pets/birds
188,"Am getting wildly different results from different labs, but most likely I have a moderate case of covid",104,different results,positive,"/law, govt and politics"
189,NPCs all the way up,19,NPCs,neutral,/art and entertainment/shows and events
190,Ahem,aff,aff,aff,aff
191,Unless youre on DMT,19,DMT,neutral,/health and fitness
192,Laws of thermodynamics:1. You cant win2. You cant break even3. You cant stop playing,84,stop playing,negative,/science/physics/thermodynamics
193,Shakes fist at entropy,22,entropy,neutral,/science/physics/thermodynamics
194,Big expansion of beta program in to weeks!,42,Big expansion of beta program,neutral,/technology and computing/operating systems
195,Interesting. My Thursday night saliva sample came back today with N1 gene (unique to cov,88,Thursday night saliva sample,positive,/health and fitness/disease
196,Whats honey?,12,Whats honey,neutral,/food and drink/desserts and baking
197,Feels that way,14,way,negative,/society/dating
198,This seems accurate,aff,aff,aff,aff
199,Cold symptoms are gone for now,30,Cold symptoms,negative,/health and fitness/disorders
200,There are degrees of pos,24,degrees of pos,neutral,/science/engineering
201,Heneghan makes a lot of sense. Hilarious that he has to clarify that he r,73,lot of sense,positive,/science/mathematics/algebra
202,The number of PCR amplification cycles required to detect the virus is a rough indicator of your vir,100,number of PCR amplification cycles,neutral,/health and fitness/disease
203,This a great reference! Worth a read.,37,great reference,positive,/art and entertainment/books and literature
204,Case closed,11,Case,neutral,/society/crime/personal offense/homicide
205,Soon,aff,aff,aff,aff
206,"Fwiw, lab I just spoke to thinks below is accurate, to gets dicey &amp; above is bs. Will talk to",97,lab,positive,"/law, govt and politics/government/courts and judiciary"
207,Lab I just spoke to said cov2 PCR detection (N1 &amp; N3 genes) below cycles is reliable &amp; above cycles is not,114,cov2 PCR detection,neutral,/health and fitness/disease
208,"Note, this is not the spike protein. They dont consider that reliable.",70,spike protein,negative,/health and fitness/disease
209,"Just spoke directly to a testing lab. Their main PCR search is for the N1 gene, unique",86,main PCR search,neutral,/health and fitness/disease
210,Strange,aff,aff,aff,aff
211,Possible explanation for the dramatic decline in cold &amp; flu prevalence vs prior years. If someone comes,107,Possible explanation,neutral,/health and fitness/disease/cold and flu
212,"Moreover, lower the true prevalence, the higher the false positive number will be. This sounds obvious,",103,true prevalence,negative,/health and fitness/disease
213,From,aff,aff,aff,aff
214,Sure is,aff,aff,aff,aff
215,Would be great to hear from people who know a lot about the PCR testing industry. Whats the approximate false posi,114,approximate false posi,neutral,/business and industrial/war industry
216,Interesting,aff,aff,aff,aff
217,Interesting,aff,aff,aff,aff
218,What is the general population (no knowledge of symptoms) accuracy of a sars-cov2 PCR test &amp; is it possible to gene,119,general population,neutral,/health and fitness/disease
219,"A good PCR test should identify if I have the cov2 spike proteins, although I have heard s",aff,aff,aff,aff
220,"Mild sniffles &amp; cough &amp; slight fever past few days. Right now, no symptoms, although I did take NyQuil.",111,Mild sniffles,negative,/health and fitness/disease
221,"Technically, I tested positive, then negative twice, then positive again, so Elon Musk Tests Negati",99,Elon Musk Tests Negati,positive,/automotive and vehicles/electric vehicles
222,The carousel turns ever faster,30,carousel turns,positive,/pets/zoo
223,Yup,aff,aff,aff,aff
224,Exactly,aff,aff,aff,aff
225,Symptoms of a typical cold. Nothing unusual so far.,51,Symptoms,neutral,/health and fitness/disorders
226,"If its happening to me, its happening to others. Im getting PCR tests from separate labs. Results will take about hours.",120,happening,negative,/sports/cricket
227,"Something extremely bogus is going on. Was tested for covid four times today. Two tests came back negative, two cam",115,tests,neutral,/sports/cricket
228,"Burst disk worked, so vehicle appears to be ok. Well have to swap out at least one of the engines.",98,disk,neutral,/automotive and vehicles/vehicle brands
229,Maybe melted an engine preburner or fuel hot gas manifold. Whatev,65,engine preburner,neutral,/business and industrial/energy/natural gas
230,We lost vehicle pneumatics. Reason unknown at present. Liquid oxygen header tank pressure is risin,98,Liquid oxygen header tank pressure,neutral,/automotive and vehicles/vehicle brands
231,,aff,aff,aff,aff
232,: Tesla tops list of s Most Attractive Employers for US engineering students,76,tops list,positive,/science/engineering
233,Astronauts fly to on Sat night from Cape. First operational flight of Crew Dragon.,82,operational flight of Crew Dragon,neutral,/business and industrial/business operations
234,Luck is the best superpower,27,best superpower,positive,"/law, govt and politics/politics/foreign policy"
235,: Thank you to all those who have served and sacrificed,aff,aff,aff,aff
236,: Crew access arm swings into place,35,Crew access arm swings,neutral,/technology and computing/internet technology
237,Yes,aff,aff,aff,aff
238,It is an honor that they would choose to work with me. I strive to ensure that the companies enable,99,honor,positive,/finance/financial news
239,Such a privilege to work with people I like &amp; respect so much. I feel blessed.,82,privilege,positive,/family and parenting/children
240,": The Flight Readiness Review for the Crew-1 mission to the has concluded, and and are GO t",91,Flight Readiness Review,neutral,"/law, govt and politics/armed forces/air force"
241,: Falcon and Crew Dragon vertical on Launch Complex A,53,Crew Dragon vertical,neutral,/travel/transports/sea travel
242,Probably,aff,aff,aff,aff
243,Happy to see this,aff,aff,aff,aff
244,"I do expect this to become an important product for the world, but probably not financially material for Tesla",110,important product,negative,/automotive and vehicles/cars/hybrid
245,Theres no entry,15,entry,neutral,"/law, govt and politics/immigration"
246,Tesla makes the RNA Bioreactor that can make vaccines / cures. CureVac has version in use.,90,RNA Bioreactor,neutral,/health and fitness/disease
247,: Crew Dragon and Falcon in the hangar at Launch Complex A ahead of launching four astronauts to the ; liftoff,110,Crew Dragon,neutral,/automotive and vehicles/vehicle brands
248,Checking,aff,aff,aff,aff
249,I just hope this game doesnt twist itself to tedium out of fear of being canceled,81,game doesnt twist,negative,/art and entertainment/shows and events
250,": Rumor has it that ""Austin Chalk"" is geologically one of best soils for tunneling. Want to find out? Austin jobs now avai",122,Austin Chalk,neutral,/society/work/unemployment
251,,aff,aff,aff,aff
252,"Yes, you can have my damn cookie! should be a browser setting",61,browser setting,neutral,/technology and computing/internet technology/web search
253,Thanks to a lot of great Autopilot/AI hardware &amp; software engineers at Tesla!,81,lot of great Autopilot,positive,/technology and computing/hardware
254,For sure,aff,aff,aff,aff
255,Will be worth it,aff,aff,aff,aff
256,Exactly,aff,aff,aff,aff
257,Sure,aff,aff,aff,aff
258,"Actually, its still there",aff,aff,aff,aff
259,Wait until you see what Cybertruck will do,42,Cybertruck,positive,/family and parenting/children
260,This is accidental. Will be back shortly.,aff,aff,aff,aff
261,: k Superchargers and counting,30,k Superchargers,neutral,/automotive and vehicles/vehicle brands/rolls-royce
262,Am hoping to change booster design to land back on launch mount with,68,booster design,neutral,/art and entertainment/visual art and design/design
263,Chip has temp sensor &amp; automatically maintains safe temp,60,temp sensor,neutral,/technology and computing/consumer electronics/camera and photo equipment/cameras and camcorders
264,Enough already on my plate &amp; Teslas. Maybe one day will do a prototy,72,plate,positive,/sports/cricket
265,"Neuralink wont overclock the brain, it will transfer processing to the supercomputer extension of yo",100,Neuralink wont,negative,/technology and computing/hardware/computer components/chips and processors
266,We rewrote all labeling software for D. Very different from labeling single phot,80,labeling software,neutral,/technology and computing/software
267,Version is about a year away,28,Version,neutral,/automotive and vehicles/cars/hatchback
268,It would appear that their calculations were incorrect,54,calculations,neutral,/science/mathematics/arithmetic
269,China understands the profound importance of reusability. The era of expendable rockets will soon be over.,106,era of expendable rockets,neutral,/society/unrest and war
270,Tesla Autopilot/AI team,aff,aff,aff,aff
271,"Good explanation. D is essential for dynamically occluded objects, especially in large intersection",99,Good explanation,positive,/technology and computing/programming languages/c and c++
272,:,aff,aff,aff,aff
273,The Phantom of the Opera Is here inside your mind,49,Phantom of the Opera,neutral,/style and fashion/body art
274,,aff,aff,aff,aff
275,Just looking for problem-solvers who get things done with a high sense of urgency. Dont care if or where they went to school.,125,problem-solvers,positive,/education/school
276,"When sending your resume, please describe a few of the hardest problems you solved &amp; exactly how you solved them",116,few of the hardest problems,positive,/science/mathematics/geometry
277,A New Banner is neededNeither hard left nor right,49,New Banner,negative,"/law, govt and politics/politics"
278,Another fine day in the simulation,34,fine day,neutral,/technology and computing/hardware/computer components
279,"Faraday invented the electric motor, Tesla the (commutator-free, three-phase) AC induction motor, in other",106,electric motor,neutral,/automotive and vehicles/cars/hybrid
280,"Maxwell was amazing. Should have more recognition. Tesla Motors, Inc., was almost called Faraday, as it to",106,Tesla Motors,neutral,/automotive and vehicles/cars/hybrid
281,is ten times better than,24,times,neutral,/education/homework and study tips
282,,aff,aff,aff,aff
283,: Deployment of GPS III-4 confirmed,35,Deployment of GPS III-4,neutral,/health and fitness/exercise
284,: Falcon s first stage lands on the Of Course I Still Love You droneship,72,first stage lands,positive,/automotive and vehicles/vehicle brands/ford
285,: Liftoff!,aff,aff,aff,aff
286,Awaiting approval from Canadian authorities,43,Canadian authorities,neutral,"/law, govt and politics"
287,Recruiting ace engineers for Giga Berlin! Will interview in person tomorrow on site. Send resume to Guns.com.,109,Recruiting ace engineers,positive,/science/engineering
288,Stop being a chad,17,chad,neutral,/automotive and vehicles/auto parts
289,Uh Chad wtf,aff,aff,aff,aff
290,"Einstein was great, but did not succeed at engineering (and he tried)",69,Einstein,negative,/science/engineering
291,"Yeah, that will be relatively easy, as so few users out in the ocean",68,users,positive,/technology and computing/internet technology/social network
292,"Yes, although I didnt expect the stock to rise so much so",57,stock,negative,/finance/investing/stocks
293,"Super appreciate your support, Steve! That convertible loan gave us months of runway.",85,convertible loan,neutral,/automotive and vehicles/cars/convertible
294,Closest we got was about a month. The Model ramp was extreme stress &amp; pa,76,Model ramp,neutral,/automotive and vehicles/cars/sedan
295,"I put in my last money, even though I thought we would still fail. But, it was eithe",84,last money,negative,/finance/financial news
296,"That funding round completed pm on Christmas Eve in . Last hour of last day possible, as investo",96,Last hour of last day,neutral,/education/special education
297,Yes,aff,aff,aff,aff
298,"Lowering Starlink terminal cost, which may sound rather pedestrian, is actually our most difficult technical challenge",118,terminal cost,negative,/business and industrial/construction
299,"As soon as we get regulatory approval. Hopefully, around middle of next year.",77,regulatory approval,neutral,/business and industrial/company/merger and acquisition
300,"Right now, it takes about mins to set up, but, with future improvements, probably less than mi",94,future improvements,positive,/society/dating
301,Canada and Norway are next after we get US out of early beta!,61,Canada,neutral,/business and industrial/business operations
302,Didnt realize that was possible. No problem if theres a way get current design Cybertruck approved in Europe!,109,current design Cybertruck,positive,/business and industrial/construction
303,"As soon as we get country approval. This is required for each country individually, as no EU-wide approval",106,country approval,positive,"/law, govt and politics"
304,"Lower latitude states need more satellites in position, so probably January",75,Lower latitude states,neutral,/science/geography/topography
305,Several thousand more Starlink beta participation invitations going out this week,81,Starlink beta participation invitations,neutral,/careers/career planning
306,New design is better with many minor tweaks. Even the small details matter.,75,New design,positive,/automotive and vehicles/cars/sedan
307,Haha,aff,aff,aff,aff
308,Very close to actual expected flight!,37,flight,neutral,/travel/transports/air travel/airlines
309,"I could not be more excited about the new supercollider! That said, while it is considerably larger,",100,new supercollider,positive,/business and industrial/energy
310,,aff,aff,aff,aff
311,,aff,aff,aff,aff
312,Tesla Tex,aff,aff,aff,aff
313,Yes,aff,aff,aff,aff
314,Penguin Random House should change the name to Random Penguin,61,Penguin Random House,neutral,/art and entertainment/books and literature/e-books
315,"Sure, although it might be quite a short livestream! Lot can go wrong, but well provide video, wa",97,short livestream,negative,/technology and computing/internet technology/web clip art
316,This is what matters most,aff,aff,aff,aff
317,Weve tested a sub-scale version in a wind tunnel with active aero clos,70,wind tunnel,neutral,/automotive and vehicles/cars/car culture
318,,aff,aff,aff,aff
319,Lord of the,11,Lord,neutral,/hobbies and interests/reading
320,"Yeah. Although, if it fails right at the end, some landing",58,end,negative,/travel/transports
